customer_id,signup_date,country,age,gender,segment
CUST_00001,2023-10-01,UK,20,M,Regular
CUST_00002,2024-11-25,UK,24,M,New
CUST_00003,2024-06-18,Canada,42,F,Regular
CUST_00004,2024-03-13,USA,23,F,VIP
CUST_00005,2023-04-24,Canada,51,M,New
CUST_00006,2023-04-24,USA,37,M,New
CUST_00007,2023-02-12,Brazil,39,M,Regular
CUST_00008,2024-09-24,Canada,34,M,Regular
CUST_00009,2024-03-14,USA,47,M,New
CUST_00010,2024-05-31,UK,47,F,Regular
CUST_00011,2023-01-16,USA,42,F,Regular
CUST_00012,2024-12-09,France,44,F,At-Risk
CUST_00013,2024-08-30,Germany,35,M,New
CUST_00014,2023-06-05,France,44,F,VIP
CUST_00015,2023-05-13,USA,33,F,New
CUST_00016,2023-05-14,USA,38,F,Regular
CUST_00017,2023-08-11,USA,34,F,Regular
CUST_00018,2024-01-19,USA,32,M,New
CUST_00019,2023-11-12,Germany,29,M,VIP
CUST_00020,2023-08-01,Canada,43,F,New
CUST_00021,2024-03-22,France,53,M,Regular
CUST_00022,2023-04-12,UK,52,M,New
CUST_00023,2023-08-02,Australia,22,M,Regular
CUST_00024,2023-09-25,France,53,M,New
CUST_00025,2023-11-29,Australia,34,F,VIP
CUST_00026,2024-07-27,Germany,45,M,VIP
CUST_00027,2023-05-26,USA,27,M,VIP
CUST_00028,2024-01-11,USA,39,F,New
CUST_00029,2024-03-08,Brazil,41,M,Regular
CUST_00030,2023-02-03,USA,20,Other,New
CUST_00031,2024-03-19,USA,45,M,VIP
CUST_00032,2023-05-05,Germany,54,F,Regular
CUST_00033,2023-02-17,Germany,35,F,Regular
CUST_00034,2024-11-23,Germany,54,F,Regular
CUST_00035,2024-12-05,USA,35,M,New
CUST_00036,2024-08-13,UK,48,M,Regular
CUST_00037,2023-08-11,Germany,18,F,New
CUST_00038,2023-03-13,Japan,67,F,At-Risk
CUST_00039,2024-05-14,Brazil,55,M,At-Risk
CUST_00040,2023-11-18,Australia,34,M,Regular
CUST_00041,2023-03-31,Brazil,18,F,At-Risk
CUST_00042,2023-12-28,Germany,41,F,New
CUST_00043,2023-01-26,USA,20,M,At-Risk
CUST_00044,2024-10-25,France,43,F,New
CUST_00045,2023-07-08,France,42,F,Regular
CUST_00046,2024-04-28,Germany,26,F,Regular
CUST_00047,2023-08-16,UK,51,F,New
CUST_00048,2024-01-15,Germany,47,M,New
CUST_00049,2024-02-04,USA,49,F,New
CUST_00050,2023-05-15,Germany,38,F,At-Risk
CUST_00051,2024-12-08,USA,21,F,New
