product_id,product_name,category,unit_price,cost
PROD_0001,Clothing Item 1,Clothing,167.65,95.44
PROD_0002,Electronics Item 2,Electronics,522.48,311.94
PROD_0003,Clothing Item 3,Clothing,49.61,24.78
PROD_0004,Electronics Item 4,Electronics,666.05,399.8
PROD_0005,Beauty Item 5,Beauty,126.83,86.41
PROD_0006,Toys Item 6,Toys,24.06,14.33
PROD_0007,Clothing Item 7,Clothing,154.98,69.36
PROD_0008,Home & Kitchen Item 8,Home & Kitchen,170.56,97.88
PROD_0009,Clothing Item 9,Clothing,66.89,37.63
PROD_0010,Clothing Item 10,Clothing,47.77,31.59
PROD_0011,Toys Item 11,Toys,30.44,15.37
PROD_0012,Toys Item 12,Toys,169.96,89.55
PROD_0013,Clothing Item 13,Clothing,151.87,88.02
PROD_0014,Books Item 14,Books,16.96,9.45
PROD_0015,Clothing Item 15,Clothing,109.93,67.68
PROD_0016,Books Item 16,Books,30.8,12.69
PROD_0017,Home & Kitchen Item 17,Home & Kitchen,227.14,129.26
PROD_0018,Home & Kitchen Item 18,Home & Kitchen,222.83,97.27
PROD_0019,Home & Kitchen Item 19,Home & Kitchen,445.11,220.13
PROD_0020,Books Item 20,Books,38.35,22.95
PROD_0021,Home & Kitchen Item 21,Home & Kitchen,325.08,145.38
PROD_0022,Home & Kitchen Item 22,Home & Kitchen,23.16,11.41
PROD_0023,Toys Item 23,Toys,16.39,10.01
PROD_0024,Clothing Item 24,Clothing,34.45,20.51
PROD_0025,Electronics Item 25,Electronics,1200.61,513.03
PROD_0026,Clothing Item 26,Clothing,163.21,93.55
PROD_0027,Clothing Item 27,Clothing,62.45,27.74
PROD_0028,Clothing Item 28,Clothing,128.99,61.36
PROD_0029,Beauty Item 29,Beauty,70.58,37.96
PROD_0030,Clothing Item 30,Clothing,195.11,84.44
PROD_0031,Electronics Item 31,Electronics,755.62,527.49
PROD_0032,Clothing Item 32,Clothing,33.15,14.9
PROD_0033,Clothing Item 33,Clothing,20.26,12.85
PROD_0034,Sports Item 34,Sports,250.98,162.87
PROD_0035,Beauty Item 35,Beauty,80.63,56.31
PROD_0036,Home & Kitchen Item 36,Home & Kitchen,353.42,186.82
PROD_0037,Sports Item 37,Sports,54.87,36.34
PROD_0038,Clothing Item 38,Clothing,146.17,100.46
PROD_0039,Toys Item 39,Toys,196.35,88.72
PROD_0040,Books Item 40,Books,16.13,8.77
PROD_0041,Electronics Item 41,Electronics,1421.76,594.3
PROD_0042,Clothing Item 42,Clothing,51.04,29.92
PROD_0043,Toys Item 43,Toys,29.86,17.15
PROD_0044,Books Item 44,Books,34.26,15.8
PROD_0045,Electronics Item 45,Electronics,541.19,346.02
PROD_0046,Electronics Item 46,Electronics,926.52,380.97
PROD_0047,Home & Kitchen Item 47,Home & Kitchen,12.09,7.76
