transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,discount,revenue,payment_method,channel
TXN_0006868,CUST_02328,PROD_0043,2023-01-02,1,29.86,0.0,29.86,Credit Card,Web
TXN_0005498,CUST_04130,PROD_0063,2023-01-03,3,914.85,0.0,2744.55,Credit Card,In-Store
TXN_0000887,CUST_02295,PROD_0145,2023-01-05,1,39.14,0.0,39.14,Credit Card,Mobile App
TXN_0001822,CUST_04412,PROD_0140,2023-01-06,3,124.52,0.0,373.56,Bank Transfer,Web
TXN_0015433,CUST_04777,PROD_0131,2023-01-06,3,63.81,0.0,191.43,Credit Card,Web
TXN_0022146,CUST_01922,PROD_0199,2023-01-06,5,31.97,0.15,135.87,Credit Card,Mobile App
TXN_0023346,CUST_04771,PROD_0171,2023-01-06,2,138.75,0.0,277.5,PayPal,Web
TXN_0037185,CUST_02529,PROD_0171,2023-01-07,1,138.75,0.0,138.75,PayPal,In-Store
TXN_0007463,CUST_02612,PROD_0060,2023-01-07,2,87.02,0.0,174.04,Credit Card,Mobile App
TXN_0021853,CUST_02715,PROD_0128,2023-01-07,2,18.71,0.0,37.42,Credit Card,Mobile App
TXN_0042587,CUST_02328,PROD_0090,2023-01-07,2,312.35,0.0,624.7,PayPal,In-Store
TXN_0042106,CUST_02295,PROD_0069,2023-01-08,3,17.1,0.05,48.74,PayPal,Mobile App
TXN_0007770,CUST_02328,PROD_0098,2023-01-08,1,437.63,0.0,437.63,Debit Card,Web
TXN_0035124,CUST_01427,PROD_0074,2023-01-08,1,1116.93,0.1,1005.24,PayPal,Mobile App
TXN_0013341,CUST_01516,PROD_0156,2023-01-08,3,60.24,0.0,180.72,PayPal,In-Store
TXN_0038736,CUST_01753,PROD_0090,2023-01-10,1,312.35,0.0,312.35,Debit Card,Mobile App
TXN_0005568,CUST_04152,PROD_0144,2023-01-10,1,15.1,0.0,15.1,Credit Card,Web
TXN_0039458,CUST_04979,PROD_0011,2023-01-10,1,30.44,0.0,30.44,Credit Card,Web
TXN_0038920,CUST_04097,PROD_0045,2023-01-10,1,541.19,0.05,514.13,Debit Card,Web
TXN_0004146,CUST_00946,PROD_0079,2023-01-11,2,897.82,0.0,1795.64,Credit Card,Web
TXN_0038214,CUST_03420,PROD_0183,2023-01-11,2,406.18,0.0,812.36,Debit Card,Mobile App
TXN_0004053,CUST_04757,PROD_0143,2023-01-11,1,179.4,0.15,152.49,PayPal,Mobile App
TXN_0017784,CUST_03420,PROD_0042,2023-01-11,3,51.04,0.0,153.12,Debit Card,In-Store
TXN_0016597,CUST_00408,PROD_0176,2023-01-12,3,136.79,0.0,410.37,Credit Card,In-Store
TXN_0032316,CUST_03711,PROD_0003,2023-01-12,1,49.61,0.0,49.61,Credit Card,Web
